,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
268,27,560.0,studio,46.0,True,0,1,Calle Puerto de Tarancón,Madrid,40.401.323,-3.663.341,False,3786,True,good,False,True,False,True,False,bj,Puente de Vallecas,Numancia,False
269,25,600.0,flat,42.0,True,1,1,Maestro Caballero,Torrejón de Ardoz,40.459.912,-3.487.187,False,18905,False,good,False,False,False,False,False,bj,Noroeste,Desconocido,False
270,17,720.0,flat,44.0,True,1,1,Calle Recesvinto,Madrid,403.942.653,-37.337.412,False,3589,False,good,False,True,False,False,False,ss,Carabanchel,San Isidro,False
271,12,750.0,flat,60.0,True,2,1,Calle Athos,Madrid,404.094.468,-37.323.408,False,2591,False,good,False,False,False,False,False,Desconocido,Latina,Puerta del Ángel,False
272,5,750.0,flat,42.0,False,1,1,"Paseo de las delicias, 125",Madrid,403.927.535,-36.945.366,True,2762,False,good,False,False,False,False,False,4,Arganzuela,Delicias,True
273,15,750.0,studio,90.0,True,0,1,Calle de San Romualdo,Madrid,404.393.937,-36.232.212,False,7228,False,good,False,False,False,False,False,4,San Blas,Simancas,True
274,16,650.0,studio,45.0,False,0,1,"Calle Zabaleta, 36",Madrid,40.442.298,-36.733.654,True,3807,True,good,False,True,False,False,False,bj,Chamartín,Prosperidad,True
275,21,650.0,flat,59.0,True,1,1,Calle la Pila,Parla,40.239.658,-3.776.349,False,20637,True,good,False,False,False,False,False,2,El Nido-Las Fuentes,Desconocido,True
276,61,670.0,flat,75.0,True,2,1,El Mirador - Grillero,Arganda,402.938.125,-34.276.338,False,27056,False,good,False,False,False,False,False,3,El Mirador - Grillero,Desconocido,True
277,16,650.0,flat,45.0,True,1,1,"Calle Garcilaso, 1",Getafe,403.082.527,-37.365.244,True,12383,False,newdevelopment,True,True,False,False,False,2,La Alhóndiga,Desconocido,True
