,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
309,19,750.0,flat,36.0,True,1,1,Madrid,False,4237,True,good,False,False,False,False,False,bj,Ciudad Lineal,Ventas,True
310,20,675.0,flat,69.0,True,2,1,Madrid,True,5656,False,good,False,False,False,False,False,bj,Latina,Aluche,False
311,23,650.0,flat,85.0,True,2,1,Guadarrama,True,43066,True,good,False,False,False,False,False,2,Desconocido,Desconocido,False
312,15,730.0,flat,52.0,True,1,1,Madrid,False,5879,True,good,False,False,False,False,False,bj,Tetuán,Valdeacederas,True
313,19,700.0,flat,97.0,True,1,1,Loeches,True,24605,False,good,False,False,False,False,False,bj,Desconocido,Desconocido,True
314,12,690.0,studio,38.0,False,0,1,Madrid,False,5798,True,good,False,True,False,True,False,2,Tetuán,Valdeacederas,True
315,23,700.0,flat,70.0,True,2,1,Guadarrama,True,43166,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
316,24,600.0,duplex,89.0,True,2,2,Miraflores de la Sierra,False,44474,False,good,False,False,False,False,False,2,Desconocido,Desconocido,False
317,18,700.0,studio,25.0,False,0,1,Madrid,False,691,False,good,False,False,False,False,False,bj,Centro,Lavapiés-Embajadores,False
318,21,690.0,flat,60.0,True,2,1,Sevilla la Nueva,False,29005,False,good,False,False,False,False,False,bj,Desconocido,Desconocido,False
319,35,750.0,duplex,114.0,True,3,3,Serranillos del Valle,True,28099,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
320,31,700.0,studio,51.0,True,0,1,Madrid,False,8471,True,good,False,False,False,False,False,bj,Hortaleza,Pinar del Rey,False
321,32,670.0,flat,61.0,True,1,1,Collado Villalba,False,35136,False,good,False,False,False,False,False,bj,Parque de la Coruña - Las Suertes,Desconocido,True
322,15,750.0,flat,80.0,True,2,1,Valdemoro,False,25085,False,good,False,False,False,False,False,4,Zona Estación,Desconocido,True
323,24,740.0,studio,33.0,True,0,1,Madrid,False,8322,False,good,False,False,False,False,False,bj,Hortaleza,Canillas,True
324,19,750.0,flat,110.0,True,4,2,Colmenar Viejo,False,27976,False,good,False,False,False,False,False,1,El Mirador,Desconocido,False
325,9,750.0,flat,62.0,True,2,1,Madrid,False,5703,False,good,False,True,False,False,False,3,Puente de Vallecas,Portazgo,False
326,21,750.0,studio,70.0,True,0,1,San Sebastián de los Reyes,True,16273,True,good,False,False,False,False,False,bj,Pol. Industrial sur,Desconocido,True
327,11,650.0,studio,28.0,True,0,1,Madrid,False,5399,False,good,False,False,False,False,False,bj,Ciudad Lineal,Quintana,False
328,18,625.0,flat,51.0,True,1,1,Arganda,False,25010,True,good,False,False,False,False,False,2,Centro,Desconocido,True
329,18,700.0,flat,35.0,True,1,1,Madrid,False,2266,True,good,False,False,False,False,False,bj,Retiro,Jerónimos,True
330,25,750.0,flat,95.0,True,2,2,Colmenarejo,False,30759,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
331,37,600.0,studio,25.0,False,0,1,Madrid,False,3812,True,good,False,False,False,False,False,bj,Usera,Pradolongo,False
332,25,750.0,flat,89.0,True,2,2,Getafe,False,12878,True,good,False,False,False,False,False,2,San Isidro,Desconocido,True
333,32,700.0,flat,55.0,True,1,1,Valdemorillo,False,32004,True,good,False,False,False,False,False,1,Valdemorillo pueblo,Desconocido,True
334,34,750.0,flat,90.0,True,3,2,Campo Real,False,28736,False,good,False,False,False,False,False,2,Desconocido,Desconocido,True
335,28,750.0,flat,48.0,True,2,1,Madrid,False,6832,False,good,False,False,False,False,False,2,Fuencarral,Pilar,True
336,27,625.0,flat,57.0,True,2,1,Aranjuez,False,43647,False,good,False,False,False,False,False,bj,Centro,Desconocido,False
337,20,750.0,flat,46.0,True,1,1,San Sebastián de los Reyes,False,16127,False,good,False,True,False,False,False,1,Centro Urbano,Desconocido,False
338,7,695.0,flat,59.0,True,1,1,Madrid,True,8595,False,good,False,False,False,False,False,4,Villaverde,Butarque,True
339,10,450.0,flat,40.0,True,1,1,Robledo de Chavela,False,46273,True,good,False,False,False,False,False,1,Desconocido,Desconocido,False
340,15,720.0,flat,58.0,True,2,1,Alcorcón,False,13451,True,good,False,False,False,False,False,bj,Centro,Casco Antiguo,False
341,20,745.0,flat,73.0,True,2,1,Alcalá de Henares,False,28800,False,good,False,False,True,False,False,2,Las Sedas - El Olivar,Desconocido,True
342,19,720.0,flat,69.6,True,2,1,Alcalá de Henares,False,28624,False,good,False,False,True,False,False,2,Las Sedas - El Olivar,Desconocido,True
